Names	Number	ACC	BLCA	BRCA	CESC	CHOL	COAD	DLBC	ESCA	GBM	HNSC	KICH	KIRC	KIRP	LAML	LGG	LIHC	LUAD	LUSC	MESO	OV	PAAD	PCPG	PRAD	READ	SARC	SKCM	STAD	TGCT	THCA	THYM	UCEC	UCS	UVM
ABCC12|94160	4	NA	NA	1.23291599709615	NA	NA	NA	NA	NA	-1.60055552542092	NA	NA	NA	NA	NA	-1.54614119878612	NA	1.05767480495485	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ABCC13|150000	1	NA	NA	2.30886912788971	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ABCC2|1244	6	NA	NA	1.09025568140982	NA	NA	NA	NA	-1.8826008977556	NA	NA	NA	NA	1.35619433163117	NA	NA	1.34334553872567	-1.06608155406212	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.94568154733753
ABCC3|8714	3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-1.91799547601022	NA	NA	-1.07970230393712	2.28646745825053	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ABCC4|10257	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.11026417694107	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.53979800699577	NA	NA	NA	NA
ABCC6|368	4	NA	NA	1.02686063471409	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.14984995776254	NA	NA	NA	NA	NA	NA	NA	NA	1.18089579302716	1.11703255470399	NA	NA	NA	NA	NA	NA	NA
ABCC6P1|653190	3	NA	NA	1.19349957149761	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-1.03146878987802	2.10485893529618	NA	NA	NA	NA	NA	NA	NA	NA
ABCC6P2|730013	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.33419465102973	NA	NA	NA	NA	NA	NA	NA	NA
ABCC8|6833	7	NA	NA	1.39440401627105	NA	NA	NA	NA	1.83228067394085	NA	NA	NA	NA	NA	NA	-1.73783520810872	-1.466918910346	NA	NA	NA	NA	NA	NA	NA	NA	1.47314720982184	NA	1.56558780757017	NA	1.68511504174978	NA	NA	NA	NA
ABCC9|10060	15	NA	NA	NA	1.73816090403429	NA	1.66462430176726	NA	2.7106012554626	NA	2.32662676132233	NA	NA	NA	NA	NA	2.39397128881497	1.2250605058647	1.36366526895295	1.81773515873237	1.37024922093846	1.62574929805219	NA	NA	NA	1.1330338885977	1.10430954762827	3.55089907937768	1.22847882634433	1.26939156462341	NA	NA	NA	NA
ABCD2|225	10	1.28682144291118	NA	NA	1.23035589534476	NA	1.18932057999016	NA	1.93817334327248	NA	1.48364210430591	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.3432486853906	NA	NA	1.36098670603491	1.85346542825978	NA	1.56019814972943	NA	NA	NA	NA	NA	2.06171326334014
ABCG1|9619	3	1.06312575951132	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-1.10108936454525	NA	NA	NA	NA	NA	NA	1.17898900426519	NA
ABCG2|9429	9	1.58587427039024	NA	1.02367926331178	1.35548105187275	1.45929146544971	NA	NA	NA	NA	NA	NA	NA	NA	1.19765402935649	NA	2.33683622699062	NA	NA	NA	NA	NA	NA	NA	NA	1.30983231092471	NA	NA	NA	1.14619026237248	NA	1.04016967676341	NA	NA
ABCG4|64137	5	NA	NA	NA	NA	NA	1.08851554356681	NA	NA	NA	NA	NA	NA	NA	NA	-1.45339218743283	-1.11672851244476	NA	NA	1.0144927676877	NA	NA	NA	NA	NA	NA	NA	1.47303184272534	NA	NA	NA	NA	NA	NA
ABCG5|64240	2	NA	NA	NA	NA	3.67325850126015	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-1.38892887100067	NA	NA	NA
ABCG8|64241	5	NA	NA	NA	NA	4.58816551625337	NA	NA	NA	NA	NA	NA	NA	NA	NA	-1.84024467042403	1.51214405235035	NA	NA	NA	1.5686900552231	NA	NA	NA	NA	NA	NA	NA	-2.30832664858571	NA	NA	NA	NA	NA
ABHD1|84696	4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-2.56029694627084	NA	NA	NA	NA	2.74024260292855	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-1.00556573886094	NA	NA	NA	NA	NA	-1.28500541809778
ABHD11|83451	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-1.19626864402799	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ABHD12B|145447	6	NA	-1.08033814197627	NA	NA	NA	NA	NA	-3.11329777056248	NA	NA	NA	NA	NA	NA	-1.16181052604861	NA	1.35076813076067	NA	NA	NA	NA	NA	NA	NA	NA	-1.02202212743904	NA	NA	NA	NA	-1.01572819402176	NA	NA
ABHD14A|25864	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-1.01199973314908	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ABHD14B|84836	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-1.05739005761403
ABHD15|116236	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.10843059943196	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
