gene	expr	reptime	hic	N_nonsilent	N_silent	N_noncoding	n_nonsilent	n_silent	n_noncoding	nnei	x	X	p	q
NRXN2	1897094	411	56	705280	173120	0	0	0	0	50	2	2382800	1	1
NRXN3	21523	905	-32	481920	93760	0	0	0	0	50	0	1889360	1	1
NSA2	418815	581	30	110000	18800	0	0	0	0	50	1	2089680	1	1
NSDHL	211215	NaN	5	153680	30320	0	0	0	0	50	2	2648160	1	1
NSF	525541	203	12	315360	55040	0	0	0	0	50	0	2735600	1	1
NSFL1C	397239	386	42	153440	29760	0	0	0	0	50	0	2544000	1	1
NSL1	365714	364	26	131360	22080	0	0	0	0	50	2	2539360	1	1
NSMAF	200152	574	17	414880	69920	0	0	0	0	50	2	1753040	1	1
NSMCE1	227767	448	27	115040	17600	0	0	0	0	50	0	1795600	1	1
NSMCE2	328239	420	38	107120	15760	0	0	0	0	50	1	2494480	1	1
NSMCE4A	249185	396	25	160960	31040	0	0	0	0	50	0	2340000	1	1
NSUN2	253355	585	6	323840	56640	0	0	0	0	50	0	2297840	1	1
NSUN3	85578	1378	-9	141040	25840	0	0	0	0	50	1	2638480	1	1
NSUN4	597667	255	28	153840	34160	0	0	0	0	50	1	2536080	1	1
NSUN5	902769	422	52	191280	42000	0	0	0	0	50	1	2704400	1	1
NSUN6	74263	512	-4	195680	36320	0	0	0	0	50	0	2655520	1	1
NSUN7	238024	202	47	295200	56960	0	0	0	0	50	1	2039280	1	1
NT5C	1511891	168	25	82560	17280	0	0	0	0	50	2	2139200	1	1
NT5C1A	974845	388	36	148880	31440	0	0	0	0	50	1	1919920	1	1
NT5C1B	39949	1075	-7	248160	50880	0	0	0	0	50	2	2120640	1	1
NT5C2	562038	150	47	241440	39200	0	0	0	0	50	0	2001200	1	1
NT5C3	376609	359	13	148800	25120	0	0	0	0	50	2	2695760	1	1
NT5C3L	1760409	175	35	127440	22480	0	0	0	0	50	1	2472560	1	1
NT5DC1	260580	640	19	194880	31360	0	0	0	0	50	1	2076160	1	1
NT5DC2	1114087	192	48	246960	49520	0	0	0	0	50	3	2499440	1	1
NT5DC3	1181243	358	15	233040	39120	0	0	0	0	50	0	2571360	1	1
NT5E	393239	321	13	234400	46720	0	0	0	0	50	1	2702640	1	1
NT5M	900505	220	15	92080	20400	0	0	0	0	50	1	2551120	1	1
NTAN1	564013	463	22	130320	25040	0	0	0	0	50	1	2084560	1	1
NTF3	28523	735	17	108400	22640	0	0	0	0	50	0	2274960	1	1
NTF4	2070141	200	35	78080	23840	0	0	0	0	50	1	2139920	1	1
NTHL1	1747301	183	46	125120	28640	0	0	0	0	50	3	2248640	1	1
NTM	9703	1115	-5	157520	33680	0	0	0	0	50	2	2606320	1	1
NTN1	128482	632	-7	245120	49120	0	0	0	0	50	0	2899360	1	1
NTN3	2085452	321	49	221120	61280	0	0	0	0	50	1	2485440	1	1
NTN4	461515	237	7	261840	45840	0	0	0	0	50	1	2822560	1	1
NTN5	1597109	242	31	189680	49360	0	0	0	0	50	2	2462400	1	1
NTNG1	78332	877	-17	240800	43680	0	0	0	0	50	0	2431920	1	1
NTNG2	361444	509	37	215520	43200	0	0	0	0	50	1	2002960	1	1
NTRK1	1505782	208	45	349040	77360	0	0	0	0	50	1	2841680	1	1
NTRK2	17424	692	1	359360	65600	0	0	0	0	50	1	2312640	1	1
NTRK3	124519	730	-57	383760	72560	0	0	0	0	50	1	2558480	1	1
NTS	22180	677	-32	73360	10640	0	0	0	0	50	0	2628240	1	1
NTSR1	1286411	208	27	163040	40000	0	0	0	0	50	1	2764560	1	1
NTSR2	219483	336	21	157200	42320	0	0	0	0	50	1	2273360	1	1
NUAK1	143018	473	7	267520	54080	0	0	0	0	50	2	2014240	1	1
NUAK2	664542	178	30	249440	56320	0	0	0	0	50	0	1865360	1	1
NUB1	604407	282	42	256320	41600	0	0	0	0	50	1	2252160	1	1
NUBP1	257980	356	37	135120	25680	0	0	0	0	50	1	1973440	1	1
NUBP2	1604603	288	36	108320	26400	0	0	0	0	50	0	2470400	1	1
NUBPL	335822	583	-7	131840	28480	0	0	0	0	50	0	1759600	1	1
NUCB1	1927185	211	43	193680	35760	0	0	0	0	50	0	2412400	1	1
NUCB2	522189	387	19	189280	20320	0	0	0	0	50	4	2462720	1	1
NUCKS1	732566	281	35	105440	15520	0	0	0	0	50	1	2723120	1	1
NUDC	1025094	188	34	141280	23200	0	0	0	0	50	2	2148960	1	1
NUDCD1	134762	731	17	250640	41040	0	0	0	0	48	1	2152960	1	1
NUDCD2	226025	696	12	65360	12720	0	0	0	0	50	3	2041280	1	1
NUDCD3	1535714	363	52	149120	27840	0	0	0	0	50	2	3068640	1	1
NUDT1	814176	430	38	76400	13520	0	0	0	0	50	0	2018080	1	1
NUDT10	112254	NaN	3	67040	13600	0	0	0	0	48	1	2054080	1	1
NUDT11	118616	NaN	31	66400	13600	0	0	0	0	50	2	2459040	1	1
NUDT12	201826	521	0	191840	34240	0	0	0	0	50	0	2178960	1	1
NUDT13	539834	354	40	147360	27200	0	0	0	0	50	1	2157040	1	1
NUDT14	872033	260	25	88080	21840	0	0	0	0	50	2	2322160	1	1
NUDT15	324467	567	34	67760	12720	0	0	0	0	50	2	2383920	1	1
