SampleID	bcr_patient_barcode	AR	ESR1	ESR2	PGR
TCGA-2J-AABI-01	TCGA-2J-AABI	2.8417	4.5091	3.3321	4.5319
TCGA-AC-A2FK-01	TCGA-AC-A2FK	10.1746	10.0657	4.1616	12.3825
TCGA-29-A5NZ-01	TCGA-29-A5NZ	8.416	6.5402	3.6642	7.5612
TCGA-CG-4462-01	TCGA-CG-4462	6.2807	6.3534	5.0507	6.6039
TCGA-HC-8265-01	TCGA-HC-8265	8.7101	7.9594	4.2391	6.968
TCGA-DV-A4W0-05	TCGA-DV-A4W0	5.3055	4.4761	2.9718	6.0645
TCGA-DD-AAVZ-01	TCGA-DD-AAVZ	8.2631	6.1853	0.7515	3.202
TCGA-E9-A1RF-11	TCGA-E9-A1RF	9.4405	9.6887	6.7298	7.7089
TCGA-DJ-A13R-01	TCGA-DJ-A13R	0.0	6.6835	4.5994	6.7813
TCGA-DD-A116-11	TCGA-DD-A116	9.3349	10.0457	0.8568	5.1971
TCGA-61-2113-01	TCGA-61-2113	5.2227	10.6204	4.2343	4.8025
TCGA-3U-A98F-01	TCGA-3U-A98F	6.3055	5.5924	4.5872	2.5073
TCGA-C5-A1MF-01	TCGA-C5-A1MF	1.3127	8.5957	2.6309	3.5095
TCGA-77-8145-01	TCGA-77-8145	5.0837	4.6223	3.5814	5.0837
TCGA-LL-A740-01	TCGA-LL-A740	9.6762	6.2874	2.5471	5.1586
TCGA-F5-6863-01	TCGA-F5-6863	2.6333	2.1196	1.6918	6.5718
TCGA-06-2565-01	TCGA-06-2565	7.4327	4.136	3.5915	1.4333
TCGA-33-AASD-01	TCGA-33-AASD	0.9236	2.3322	3.9401	2.5687
TCGA-ET-A3BS-01	TCGA-ET-A3BS	4.2086	9.9413	3.6502	4.5344
TCGA-BH-A0BZ-01	TCGA-BH-A0BZ	6.2165	12.7488	1.772	5.867
TCGA-JY-A938-01	TCGA-JY-A938	2.6989	5.2051	4.8311	4.7549
TCGA-IQ-A61O-01	TCGA-IQ-A61O	2.3277	3.7071	1.4451	7.3381
TCGA-92-8063-01	TCGA-92-8063	2.971	3.1834	5.4565	4.0485
TCGA-55-7911-01	TCGA-55-7911	2.3865	5.6332	4.4689	4.5687
