SampleID	bcr_patient_barcode	AR	ESR1	ESR2	PGR
TCGA-22-5471-01	TCGA-22-5471	1.06	4.4	4.07	3.1
TCGA-22-5471-11	TCGA-22-5471	5.52	6.34	3.32	7.39
TCGA-22-5472-01	TCGA-22-5472	2.93	5.84	2.71	4.72
TCGA-22-5472-11	TCGA-22-5472	6.95	7.82	3.42	8.68
TCGA-22-5473-01	TCGA-22-5473	2.37	3.97	2.61	4.7
TCGA-22-5474-01	TCGA-22-5474	5.02	5.85	4.41	4.65
TCGA-22-5477-01	TCGA-22-5477	7.89	3.22	2.8	3.48
TCGA-22-5478-01	TCGA-22-5478	4.97	4.53	4.53	5.06
TCGA-22-5478-11	TCGA-22-5478	6.4	6.81	3.8	7.57
TCGA-22-5479-01	TCGA-22-5479	2.32	3.79	5.02	3.24
TCGA-22-5480-01	TCGA-22-5480	5.31	7.4	3.11	4.54
TCGA-22-5481-01	TCGA-22-5481	0.51	3.94	4.72	3.18
TCGA-22-5481-11	TCGA-22-5481	5.25	7.48	3.96	7.29
TCGA-22-5482-01	TCGA-22-5482	0.95	4.94	4.08	5.44
TCGA-22-5482-11	TCGA-22-5482	6.86	7.42	4.13	8.64
TCGA-22-5483-01	TCGA-22-5483	2.19	6.52	3.22	4.56
TCGA-22-5483-11	TCGA-22-5483	6.1	6.96	2.32	7.16
TCGA-22-5485-01	TCGA-22-5485	3.34	3.7	4.04	3.26
TCGA-22-5489-01	TCGA-22-5489	5.24	7.42	4.48	6.11
TCGA-22-5489-11	TCGA-22-5489	5.85	7.05	3.83	7.59
TCGA-22-5491-01	TCGA-22-5491	2.65	5.82	2.95	2.65
TCGA-22-5491-11	TCGA-22-5491	4.97	6.6	3.4	7.44
TCGA-22-5492-01	TCGA-22-5492	2.64	5.19	3.58	4.75
TCGA-22-A5C4-01	TCGA-22-A5C4	1.02	3.88	5.4	3.49
TCGA-23-1023-01	TCGA-23-1023	5.81	12.03	5.71	8.9
TCGA-23-1026-01	TCGA-23-1026	5.67	10.32	2.96	4.45
TCGA-23-1027-01	TCGA-23-1027	5.84	10.16	3.06	5.36
TCGA-23-1029-01	TCGA-23-1029	8.08	12.58	6.81	11.52
TCGA-23-1109-01	TCGA-23-1109	6.35	10.95	3.79	3.8
TCGA-23-1111-01	TCGA-23-1111	6.14	11.9	4.81	4.96
TCGA-23-1114-01	TCGA-23-1114	7.02	11.32	6.07	7.11
TCGA-23-1120-01	TCGA-23-1120	6.06	12.22	5.97	5.05
TCGA-23-1122-01	TCGA-23-1122	7.2	11.09	4.66	3.59
TCGA-23-1123-01	TCGA-23-1123	5.49	10.6	3.85	3.37
TCGA-23-1809-01	TCGA-23-1809	3.8	5.84	7.11	5.28
TCGA-23-2077-01	TCGA-23-2077	8.8	10.98	6.5	7.46
TCGA-23-2078-01	TCGA-23-2078	3.71	10.53	5.12	7.16
TCGA-23-2081-01	TCGA-23-2081	4.93	11.47	3.71	6.72
TCGA-23-2084-01	TCGA-23-2084	5.71	10.24	4.74	6.84
TCGA-24-0975-01	TCGA-24-0975	5.44	8.94	2.45	3.57
TCGA-24-1103-01	TCGA-24-1103	6.92	10.96	5.17	9.07
TCGA-24-1413-01	TCGA-24-1413	7.64	10.72	4.49	7.81
TCGA-24-1416-01	TCGA-24-1416	7.15	10.35	5.05	8.52
TCGA-24-1417-01	TCGA-24-1417	6.43	11.99	2.85	3.8
TCGA-24-1418-01	TCGA-24-1418	5.31	10.83	5.18	4.88
TCGA-24-1419-01	TCGA-24-1419	8.5	11.75	5.36	6.19
TCGA-24-1423-01	TCGA-24-1423	7.65	11.7	3.77	6.2
TCGA-24-1424-01	TCGA-24-1424	7.39	10.94	5.31	5.84
TCGA-24-1425-01	TCGA-24-1425	6.02	10.82	4.85	6.02
TCGA-24-1427-01	TCGA-24-1427	7.81	11.03	2.55	4.58
TCGA-24-1428-01	TCGA-24-1428	5.21	11.98	5.12	6.38
TCGA-24-1430-01	TCGA-24-1430	9.27	11.38	3.48	6.7
TCGA-24-1434-01	TCGA-24-1434	6.34	11.57	3.2	3.57
TCGA-24-1435-01	TCGA-24-1435	4.7	11.84	2.12	4.75
TCGA-24-1436-01	TCGA-24-1436	6.35	10.68	3.95	3.23
TCGA-24-1463-01	TCGA-24-1463	6.58	11.87	3.57	5.14
TCGA-24-1467-01	TCGA-24-1467	7.48	10.94	6.93	7.4
TCGA-24-1469-01	TCGA-24-1469	7.79	12.07	3.23	5.59
TCGA-24-1474-01	TCGA-24-1474	5.04	11.05	2.95	3.09
TCGA-24-1544-01	TCGA-24-1544	7.11	11.35	3.47	1.91
TCGA-24-1545-01	TCGA-24-1545	8.59	11.46	4.1	5.25
TCGA-24-1546-01	TCGA-24-1546	8.8	11.32	2.03	5.75
TCGA-24-1548-01	TCGA-24-1548	8.47	12.73	3.95	10.69
TCGA-24-1549-01	TCGA-24-1549	4.25	11.94	4.56	10.37
TCGA-24-1550-01	TCGA-24-1550	5.15	5.24	3.57	5
TCGA-24-1551-01	TCGA-24-1551	7.43	11.86	4.46	7.22
TCGA-24-1552-01	TCGA-24-1552	2.71	11.92	2.82	7.63
TCGA-24-1553-01	TCGA-24-1553	6.72	11.69	3.99	3.93
TCGA-24-1555-01	TCGA-24-1555	8.97	11.84	3.33	7.67
TCGA-24-1556-01	TCGA-24-1556	7.9	10.71	4.98	7.75
TCGA-24-1557-01	TCGA-24-1557	5.56	11.07	3.51	7.11
TCGA-24-1558-01	TCGA-24-1558	4.31	10.45	5.39	3.36
TCGA-24-1560-01	TCGA-24-1560	7.87	10.9	5.45	9.76
TCGA-24-1562-01	TCGA-24-1562	8.53	11.29	3.95	4.36
